subject_nr,response_time_reproduction,context,exp_dur
0,1145,0,[short_dur]
0,366,0,[long_dur]
0,1267,0,[short_dur]
0,709,0,[long_dur]
0,1180,0,[short_dur]
0,581,0,[long_dur]
0,681,0,[long_dur]
0,789,0,[long_dur]
0,827,0,[long_dur]
0,1274,0,[short_dur]
0,1205,0,[short_dur]
0,1337,0,[short_dur]
0,656,0,[long_dur]
0,1270,0,[short_dur]
0,1154,0,[short_dur]
0,1237,0,[short_dur]
0,494,0,[long_dur]
0,449,0,[long_dur]
0,567,0,[long_dur]
0,1334,0,[short_dur]
0,1093,long,[long_dur]
0,673,long,[short_dur]
0,1267,long,[short_dur]
0,1436,long,[long_dur]
0,1148,long,[short_dur]
0,1184,long,[long_dur]
0,1387,long,[long_dur]
0,1260,long,[long_dur]
0,1298,long,[long_dur]
0,1063,long,[short_dur]
0,1005,long,[short_dur]
0,1318,long,[long_dur]
0,1165,long,[short_dur]
0,1122,long,[short_dur]
0,1165,long,[short_dur]
0,1373,long,[long_dur]
0,1103,long,[short_dur]
0,865,long,[short_dur]
0,980,long,[long_dur]
0,2013,long,[long_dur]
0,2794,long,[short_dur]
0,1864,long,[short_dur]
0,1098,long,[short_dur]
0,931,long,[short_dur]
0,1047,long,[short_dur]
0,1188,long,[long_dur]
0,1286,long,[long_dur]
0,1478,long,[long_dur]
0,1300,long,[long_dur]
0,1441,long,[long_dur]
0,1352,long,[long_dur]
0,1283,long,[short_dur]
0,1079,long,[short_dur]
0,1026,long,[long_dur]
0,1299,long,[long_dur]
0,1468,long,[long_dur]
0,1336,long,[long_dur]
0,1356,long,[short_dur]
0,1212,long,[short_dur]
0,1338,long,[long_dur]
0,1292,long,[short_dur]
0,987,long,[short_dur]
0,1312,long,[long_dur]
0,1238,long,[long_dur]
0,1424,long,[long_dur]
0,1366,long,[long_dur]
0,1004,long,[short_dur]
0,1446,long,[long_dur]
0,1442,long,[short_dur]
0,1168,long,[short_dur]
0,1343,long,[short_dur]
0,1575,long,[long_dur]
0,1077,long,[short_dur]
0,1352,long,[short_dur]
0,1425,long,[short_dur]
0,2492,long,[short_dur]
0,1292,long,[long_dur]
0,1037,long,[short_dur]
0,1201,long,[long_dur]
0,1239,long,[long_dur]
0,1019,short,[long_dur]
0,589,short,[short_dur]
0,1194,short,[long_dur]
0,1102,short,[long_dur]
0,863,short,[short_dur]
0,741,short,[short_dur]
0,633,short,[short_dur]
0,1050,short,[long_dur]
0,905,short,[long_dur]
0,670,short,[short_dur]
0,746,short,[long_dur]
0,1091,short,[short_dur]
0,1048,short,[long_dur]
0,1118,short,[short_dur]
0,978,short,[short_dur]
0,731,short,[short_dur]
0,1187,short,[long_dur]
0,1022,short,[short_dur]
0,881,short,[long_dur]
0,1118,short,[long_dur]
0,1152,short,[long_dur]
0,1000,short,[short_dur]
0,1073,short,[long_dur]
0,782,short,[short_dur]
0,981,short,[long_dur]
0,1182,short,[long_dur]
0,990,short,[short_dur]
0,909,short,[long_dur]
0,1020,short,[short_dur]
0,1226,short,[short_dur]
0,985,short,[short_dur]
0,938,short,[short_dur]
0,1049,short,[long_dur]
0,1202,short,[short_dur]
0,1093,short,[long_dur]
0,1065,short,[long_dur]
0,1377,short,[long_dur]
0,810,short,[short_dur]
0,938,short,[long_dur]
0,1174,short,[long_dur]
0,1066,short,[long_dur]
0,1141,short,[long_dur]
0,728,short,[short_dur]
0,1103,short,[long_dur]
0,857,short,[short_dur]
0,958,short,[short_dur]
0,599,short,[short_dur]
0,763,short,[short_dur]
0,758,short,[short_dur]
0,811,short,[long_dur]
0,743,short,[short_dur]
0,764,short,[short_dur]
0,1170,short,[long_dur]
0,1154,short,[long_dur]
0,1058,short,[long_dur]
0,908,short,[short_dur]
0,997,short,[long_dur]
0,704,short,[short_dur]
0,833,short,[long_dur]
